zip3,destination,scf
739,LIBERAL KS 739,SCF LIBERAL KS 679
740,TULSA OK 740,SCF TULSA OK 740
741,TULSA OK 741U,SCF TULSA OK 740
742,TULSA OK 743,SCF TULSA OK 740
743,TULSA OK 743,SCF TULSA OK 740
744,MUSKOGEE OK 744,MUSKOGEE OK 744D
745,MCALESTER OK 745,MCALESTER OK 745D
746,PONCA CITY OK 746,PONCA CITY OK 746D
747,DURANT OK 747,DURANT OK 747D
748,SHAWNEE OK 748,SHAWNEE OK 748D
749,POTEAU OK 749,POTEAU OK 749D
750,NORTH TEXAS TX 750,NORTH TEXAS TX 750D
751,DALLAS TX 751,SCF DALLAS TX 752
752,DALLAS TX 752U,SCF DALLAS TX 752
753,DALLAS TX 753U,SCF DALLAS TX 752
754,GREENVILLE TX 754,GREENVILLE TX 754D
755,TEXARKANA TX 755,SCF TEXARKANA TX 755
756,EAST TEXAS TX 756,SCF EAST TEXAS TX 757
757,EAST TEXAS TX 757,SCF EAST TEXAS TX 757
758,PALESTINE TX 758,PALESTINE TX 758D
759,LUFKIN TX 759,LUFKIN TX 759D
760,FT WORTH TX 760,SCF FT WORTH TX 760
761,FT WORTH TX 761U,SCF FT WORTH TX 760
762,FT WORTH TX 762,SCF FT WORTH TX 760
763,WICHITA FALLS TX 763,WICHITA FALLS TX 763D
764,FT WORTH TX 764,SCF FT WORTH TX 760
765,WACO TX 765,SCF WACO TX 766
766,WACO TX 766,SCF WACO TX 766
767,WACO TX 767U,SCF WACO TX 766
768,ABILENE TX 768,SCF ABILENE TX 795
769,MIDLAND TX 769,SCF MIDLAND TX 797
770,HOUSTON TX 770U,SCF HOUSTON TX 770
771,HOUSTON TX 771U,SCF HOUSTON TX 770
772,HOUSTON TX 772U,SCF HOUSTON TX 770
773,NORTH HOUSTON TX 773,SCF NORTH HOUSTON TX 773
774,NORTH HOUSTON TX 774,SCF NORTH HOUSTON TX 773
775,NORTH HOUSTON TX 775,SCF NORTH HOUSTON TX 773
776,BEAUMONT TX 776,SCF BEAUMONT TX 776
777,BEAUMONT TX 777U,SCF BEAUMONT TX 776
778,BRYAN TX 778,BRYAN TX 778D
779,VICTORIA TX 779,VICTORIA TX 779D
780,SAN ANTONIO TX 780,SCF SAN ANTONIO TX 780
781,SAN ANTONIO TX 781,SCF SAN ANTONIO TX 780
782,SAN ANTONIO TX 782U,SCF SAN ANTONIO TX 780
783,CORPUS CHRISTI TX 783,SCF CORPUS CHRISTI TX 783
784,CORPUS CHRISTI TX 784U,SCF CORPUS CHRISTI TX 783
785,MCALLEN TX 785,MCALLEN TX 785D
786,AUSTIN TX 786,SCF AUSTIN TX 786
787,AUSTIN TX 787U,SCF AUSTIN TX 786
788,SAN ANTONIO TX 788,SCF SAN ANTONIO TX 780
789,AUSTIN TX 789,SCF AUSTIN TX 786
790,AMARILLO TX 790,SCF AMARILLO TX 790
791,AMARILLO TX 791U,SCF AMARILLO TX 790
792,CHILDRESS TX 792,CHILDRESS TX 792D
793,LUBBOCK TX 793,SCF LUBBOCK TX 793
794,LUBBOCK TX 794U,SCF LUBBOCK TX 793
795,ABILENE TX 795,SCF ABILENE TX 795
796,ABILENE TX 796U,SCF ABILENE TX 795
797,MIDLAND TX 797,SCF MIDLAND TX 797
798,EL PASO TX 798,SCF EL PASO TX 798
799,EL PASO TX 799U,SCF EL PASO TX 798
800,DENVER CO 800,SCF DENVER CO 800
801,DENVER CO 801,SCF DENVER CO 800
802,DENVER CO 802U,SCF DENVER CO 800
803,BOULDER CO 803U,SCF DENVER CO 800
804,DENVER CO 804,SCF DENVER CO 800
805,LONGMONT CO 805,LONGMONT CO 805D
806,DENVER CO 806,SCF DENVER CO 800
807,DENVER CO 807,SCF DENVER CO 800
808,COLORADO SPGS CO 808,SCF COLORADO SPGS CO 808
809,COLORADO SPGS CO 809U,SCF COLORADO SPGS CO 808
810,COLORADO SPGS CO 810,SCF COLORADO SPGS CO 808
811,ALAMOSA CO 811,ALAMOSA CO 811D
812,SALIDA CO 812,SALIDA CO 812D
813,DURANGO CO 813,DURANGO CO 813D
814,GRAND JUNCTION CO 814,SCF GRAND JUNCTION CO 814
815,GRAND JUNCTION CO 815,SCF GRAND JUNCTION CO 814
816,GLENWOOD SPRINGS CO 816,GLENWOOD SPRINGS CO 816D
817,CHEYENNE WY 820,CHEYENNE WY 820D
818,CHEYENNE WY 820,CHEYENNE WY 820D
819,CHEYENNE WY 820,CHEYENNE WY 820D
820,CHEYENNE WY 820,CHEYENNE WY 820D
821,YELLOWSTONE NL PK WY 821U,SCF BILLINGS MT 590
822,WHEATLAND WY 822,WHEATLAND WY 822D
823,RAWLINS WY 823,RAWLINS WY 823D
824,WORLAND WY 824,WORLAND WY 824D
825,RIVERTON WY 825,RIVERTON WY 825D
826,CASPER WY 826,CASPER WY 826D
827,GILLETTE WY 827,GILLETTE WY 827D
828,SHERIDAN WY 828,SHERIDAN WY 828D
829,ROCK SPRINGS WY 829,SCF ROCK SPRINGS WY 829
830,ROCK SPRINGS WY 830,SCF ROCK SPRINGS WY 829
831,ROCK SPRINGS WY 831,SCF ROCK SPRINGS WY 829
832,POCATELLO ID 832,SCF POCATELLO ID 832
833,TWIN FALLS ID 833,TWIN FALLS ID 833D
834,POCATELLO ID 834,SCF POCATELLO ID 832
835,LEWISTON ID 835,SCF LEWISTON ID 835
836,BOISE ID 836,SCF BOISE ID 836
837,BOISE ID 837U,SCF BOISE ID 836
838,SPOKANE WA 838,SCF SPOKANE WA 990
839,SALT LAKE CTY UT 840,SCF SALT LAKE CTY UT 840
840,SALT LAKE CTY UT 840,SCF SALT LAKE CTY UT 840
841,SALT LAKE CTY UT 841U,SCF SALT LAKE CTY UT 840
842,SALT LAKE CTY UT 842,SCF SALT LAKE CTY UT 840
843,SALT LAKE CTY UT 843,SCF SALT LAKE CTY UT 840
844,OGDEN UT 844U,SCF SALT LAKE CTY UT 840
845,PROVO UT 845,SCF PROVO UT 845
846,PROVO UT 846,SCF PROVO UT 845
847,PROVO UT 847,SCF PROVO UT 845
848,PHOENIX AZ 850U,SCF PHOENIX AZ 852
849,PHOENIX AZ 850U,SCF PHOENIX AZ 852
850,PHOENIX AZ 850U,SCF PHOENIX AZ 852
851,PHOENIX AZ 852,SCF PHOENIX AZ 852
852,PHOENIX AZ 852,SCF PHOENIX AZ 852
853,PHOENIX AZ 853,SCF PHOENIX AZ 852
854,GLOBE AZ 855,GLOBE AZ 855D
855,GLOBE AZ 855,GLOBE AZ 855D
856,TUCSON AZ 856,SCF TUCSON AZ 856
857,TUCSON AZ 857U,SCF TUCSON AZ 856
858,SHOW LOW AZ 859,SHOW LOW AZ 859D
859,SHOW LOW AZ 859,SHOW LOW AZ 859D
860,FLAGSTAFF AZ 860,FLAGSTAFF AZ 860D
861,PRESCOTT AZ 863,PRESCOTT AZ 863D
862,PRESCOTT AZ 863,PRESCOTT AZ 863D
863,PRESCOTT AZ 863,PRESCOTT AZ 863D
864,KINGMAN AZ 864,KINGMAN AZ 864D
865,GALLUP NM 865,SCF GALLUP NM 873
866,ALBUQUERQUE NM 870,SCF ALBUQUERQUE NM 870
867,ALBUQUERQUE NM 870,SCF ALBUQUERQUE NM 870
868,ALBUQUERQUE NM 870,SCF ALBUQUERQUE NM 870
869,ALBUQUERQUE NM 870,SCF ALBUQUERQUE NM 870
870,ALBUQUERQUE NM 870,SCF ALBUQUERQUE NM 870
871,ALBUQUERQUE NM 871U,SCF ALBUQUERQUE NM 870
872,ALBUQUERQUE NM 872U,SCF ALBUQUERQUE NM 870
873,GALLUP NM 873,SCF GALLUP NM 873
874,FARMINGTON NM 874,FARMINGTON NM 874D
875,ALBUQUERQUE NM 875,SCF ALBUQUERQUE NM 870
876,LAS VEGAS NM 877,LAS VEGAS NM 877D
877,LAS VEGAS NM 877,LAS VEGAS NM 877D
878,SOCORRO NM 878,SOCORRO NM 878D
879,TRUTH OR CONS NM 879,TRUTH OR CONS NM 879D
880,LAS CRUCES NM 880,LAS CRUCES NM 880D
881,CLOVIS NM 881,CLOVIS NM 881D
